queue,seq,latency_ns
MutexQueue,406,4227
MutexQueue,407,4186
MutexQueue,408,4077
MutexQueue,409,2189
MutexQueue,410,9654
MutexQueue,411,4807
MutexQueue,412,1102
MutexQueue,413,6735
MutexQueue,414,1767
MutexQueue,415,7542
MutexQueue,416,2571
MutexQueue,417,5532
MutexQueue,418,578
MutexQueue,419,11366
MutexQueue,420,6431
MutexQueue,421,1537
MutexQueue,422,6423
MutexQueue,423,1938
MutexQueue,424,6972
MutexQueue,425,2121
MutexQueue,426,10621
MutexQueue,427,5791
MutexQueue,428,835
MutexQueue,429,6877
MutexQueue,430,1911
MutexQueue,431,8791
MutexQueue,432,4014
MutexQueue,433,1558
MutexQueue,434,6400
MutexQueue,435,1665
MutexQueue,436,5412
MutexQueue,437,525
MutexQueue,438,5706
MutexQueue,439,874
MutexQueue,440,5630
MutexQueue,441,780
MutexQueue,442,5096
MutexQueue,443,320
MutexQueue,444,8378
MutexQueue,445,3563
MutexQueue,446,7067
MutexQueue,447,2789
MutexQueue,448,5589
MutexQueue,449,721
MutexQueue,450,12524
MutexQueue,451,7688
MutexQueue,452,2685
MutexQueue,453,7726
MutexQueue,454,2783
MutexQueue,455,8494
MutexQueue,456,7517
MutexQueue,457,2433
MutexQueue,458,1319
MutexQueue,459,9079
MutexQueue,460,4176
MutexQueue,461,9169
MutexQueue,462,4263
MutexQueue,463,5146
MutexQueue,464,2469
MutexQueue,465,7377
MutexQueue,466,2517
MutexQueue,467,13723
MutexQueue,468,8739
MutexQueue,469,3934
MutexQueue,470,2434
MutexQueue,471,10871
MutexQueue,472,5988
MutexQueue,473,1099
MutexQueue,474,27343
MutexQueue,475,5640
MutexQueue,476,5384
MutexQueue,477,5323
MutexQueue,478,5215
MutexQueue,479,3504
MutexQueue,480,8828
MutexQueue,481,4013
MutexQueue,482,5657
MutexQueue,483,879
MutexQueue,484,8328
MutexQueue,485,3449
MutexQueue,486,8151
MutexQueue,487,3367
MutexQueue,488,6324
MutexQueue,489,1475
MutexQueue,490,7537
MutexQueue,491,2732
MutexQueue,492,6371
MutexQueue,493,1583
MutexQueue,494,6454
MutexQueue,495,2338
MutexQueue,496,5814
MutexQueue,497,1014
MutexQueue,498,5892
MutexQueue,499,937
MutexQueue,500,5527
MutexQueue,501,812
MutexQueue,502,6062
MutexQueue,503,1300
MutexQueue,504,8269
MutexQueue,505,3432
MutexQueue,506,5563
MutexQueue,507,698
MutexQueue,508,5846
MutexQueue,509,1019
MutexQueue,510,4079
MutexQueue,511,9823
MutexQueue,512,4832
MutexQueue,513,5632
MutexQueue,514,606
MutexQueue,515,8511
MutexQueue,516,3586
MutexQueue,517,82318
MutexQueue,518,77384
MutexQueue,519,72554
MutexQueue,520,67581
MutexQueue,521,53069
MutexQueue,522,53076
MutexQueue,523,52954
MutexQueue,524,47946
MutexQueue,525,43094
MutexQueue,526,38211
MutexQueue,527,7187
MutexQueue,528,6635
MutexQueue,529,6582
MutexQueue,530,6436
MutexQueue,531,6371
MutexQueue,532,6226
MutexQueue,533,4993
MutexQueue,534,7633
MutexQueue,535,3712
MutexQueue,536,464
MutexQueue,537,9915
MutexQueue,538,4938
MutexQueue,539,2095
MutexQueue,540,5325
MutexQueue,541,464
MutexQueue,542,6098
MutexQueue,543,1837
MutexQueue,544,5894
MutexQueue,545,1074
MutexQueue,546,5738
MutexQueue,547,911
MutexQueue,548,6107
MutexQueue,549,1251
MutexQueue,550,5982
MutexQueue,551,1165
MutexQueue,552,7469
MutexQueue,553,2677
MutexQueue,554,9267
MutexQueue,555,4470
MutexQueue,556,79763
MutexQueue,557,75049
MutexQueue,558,55983
MutexQueue,559,58127
MutexQueue,560,57486
MutexQueue,561,57428
MutexQueue,562,51619
MutexQueue,563,47718
MutexQueue,564,42729
MutexQueue,565,37849
MutexQueue,566,7959
MutexQueue,567,7902
MutexQueue,568,7764
MutexQueue,569,7702
MutexQueue,570,7567
MutexQueue,571,7528
MutexQueue,572,3161
MutexQueue,573,4636
MutexQueue,574,9237
MutexQueue,575,6704
MutexQueue,576,1762
MutexQueue,577,8747
MutexQueue,578,3921
MutexQueue,579,74046
MutexQueue,580,54834
MutexQueue,581,54777
MutexQueue,582,54662
MutexQueue,583,54407
MutexQueue,584,49424
MutexQueue,585,26508
MutexQueue,586,26392
MutexQueue,587,26338
MutexQueue,588,26231
MutexQueue,589,24781
MutexQueue,590,19774
MutexQueue,591,5842
MutexQueue,592,5433
MutexQueue,593,5378
MutexQueue,594,1888
MutexQueue,595,36541
MutexQueue,596,31573
MutexQueue,597,11336
MutexQueue,598,11171
MutexQueue,599,11130
MutexQueue,600,11031
MutexQueue,601,7025
MutexQueue,602,2025
